ds,yhat,yhat_lower,yhat_upper
2016-01-23,1020.9082693852274,-1760.4804843838524,3594.873242901103
2016-01-24,1247.1894213840462,-1530.4661934199316,3985.571179226052
2016-01-25,1495.9529423936,-1333.6708453048218,4121.561771980421
2016-01-28,1329.3176735451489,-1494.3957021113908,4072.5062054810624
2016-01-30,1215.4035400849107,-1485.5694181705817,3904.0131825966428
2016-01-31,1394.1228309377152,-1634.8457172052688,4011.0091179224487
2016-02-01,1589.0481670819454,-1122.974950471214,4221.282334787233
2016-02-02,982.7776963272673,-1588.3052301716298,3731.1632312776146
2016-02-03,82.39277138857642,-2763.048163406897,2748.2315633010007
2016-02-04,1238.125922965503,-1468.7321837785635,3910.010572715499
2016-02-05,1452.9814783559393,-1203.239930994668,4139.191719202739
2016-02-06,998.8391232566931,-1556.469999284194,3857.4871703881895
2016-02-07,1119.2050084574375,-1552.3265916513049,3901.5619235707204
2016-02-08,1260.843159359818,-1336.8412553564297,4070.664172775607
2016-02-09,607.8614237102867,-1969.2643930161273,3429.9068267322464
2016-02-11,794.8063304681124,-1977.2153263436478,3525.351844535974
2016-02-12,990.1466261608894,-1575.354735145039,3882.4071139063776
2016-02-13,527.3651448561336,-2246.8088836100287,3118.8783549574396
2016-02-14,650.4763142801859,-1907.4683152650641,3425.5589849912185
2016-02-15,806.4909942701104,-2009.3388659858967,3540.51519904108
2016-02-16,179.49542022655078,-2439.5582623860214,2921.454348260134
2016-02-19,705.1841254958427,-1869.1795145766355,3360.656678880773
2016-02-20,309.3507640984926,-2488.082755877575,3038.2415002754697
2016-02-21,507.1767760368564,-2388.3711179082325,3293.445503113549
2016-02-22,744.1437285143462,-1954.0282287888465,3464.82351668302
2016-02-23,202.756169535671,-2718.9671199528293,2878.172214648542
2016-02-25,653.4029407795781,-2029.6095077737277,3569.049991309552
2016-02-27,686.8122687277457,-1962.8003531819486,3431.344532985391
2016-02-28,967.1055213712251,-1644.0272127366347,3758.390849506401
2016-02-29,1280.7086867180972,-1425.3084531639715,3965.8640335442497
2016-03-01,808.5844363525522,-1961.0692574221764,3392.9665813486745
2016-03-03,1370.290713205739,-1487.7853732463554,3980.5489602469343
2016-03-04,1752.4212058297462,-1098.0047254254544,4584.914181199436
2016-03-05,1471.2522113484654,-1216.2168267978755,4263.6095851323025
2016-03-06,1767.2975242102575,-672.1540278619807,4709.894587725611
2016-03-07,2084.229767432019,-608.3857012554822,5042.851903241344
2016-03-08,1603.031985639633,-1157.4456676727875,4452.04546452469
2016-03-09,829.060429483957,-1766.1521559028952,3358.404281882233
2016-03-10,2110.744783247201,-470.0517845267046,4673.196434431329
2016-03-11,2449.242686622803,-408.87727865609554,5036.916476964649
2016-03-12,2114.578144250214,-510.30144111724434,4919.389378709789
2016-03-13,2348.427703872616,-299.9829232745396,5041.7797498137425
2016-03-14,2595.7864389471206,-96.73303052060861,5316.98708669985
2016-03-15,2039.0872638080816,-855.459597141216,4597.665717381719
2016-03-17,2384.2399701003624,-204.50666236155467,5151.161230226325
2016-03-18,2638.8959360201434,-33.86728615861664,5409.916750460476
2016-03-19,2220.8211237574933,-612.1300832462499,5013.638126950422
2016-03-20,2373.238876559045,-189.38142507589706,5119.407121679435
2016-03-21,2542.6037701772543,-61.966583820519986,5053.204667507413
2016-03-22,1912.6898670315882,-903.3136076562004,4586.4856547365
2016-03-24,2130.36183018963,-568.1532552223566,4985.719601934853
2016-03-25,2332.6149501408845,-481.21332899160524,4965.205468543274
2016-03-26,1870.6099079428216,-983.6870395828588,4680.442472324002
2016-03-27,1987.9941925056196,-714.1570680089271,4979.858217103527
2016-03-28,2131.4321782422694,-900.0585374292409,4865.892302632407
2016-03-29,1484.6953317474984,-1255.084496334364,4057.069097286972
2016-03-30,555.6697478846229,-2181.667885430522,3550.4174057900914
2016-03-31,1695.0084747169544,-930.5023703851513,4218.7401598568495
2016-04-01,1905.7464840076839,-939.5225456870108,4609.981941253901
2016-04-02,1459.4086619284271,-1298.4561989431984,4372.494583350729
2016-04-03,1598.7752411481622,-1102.904131102627,4399.512379642444
2016-04-04,1769.5369996270965,-839.9391364783796,4592.449098380206
2016-04-05,1154.4137895391568,-1657.4509539676726,3899.8979286273984
2016-04-06,260.2387768132139,-2534.9998427219434,3086.6390571551988
2016-04-07,1436.4989238978176,-1313.455901908438,4043.7210949330283
2016-04-08,1685.121070768597,-804.9439751476896,4372.443425339802
2016-04-09,1276.5609547601061,-1518.3633859544661,3994.4699372611094
2016-04-10,1452.5950213330937,-1266.5191034945763,4254.350026712114
2016-04-12,1074.6895921601777,-1835.827274544173,3912.2970265928407
2016-04-13,208.77390626970987,-2468.079329465311,2844.357809431632
2016-04-14,1409.249687596521,-1440.5783500243706,4049.5647009169384
2016-04-15,1677.6564203588764,-1038.88073340994,4488.576664226361
2016-04-16,1284.2168293468437,-1361.0372176234564,4142.274341400241
2016-04-17,1470.6291249554083,-1528.9840118811287,4324.786517451165
2016-04-18,1681.742247435518,-1026.7836004029305,4458.279575043436
2016-04-19,1099.68731749367,-1624.9303899530298,3729.161958343175
2016-04-21,1424.9025046256336,-1502.1350144025982,4191.230993943775
2016-04-22,1683.736496193271,-1128.6483415144946,4569.81717327358
2016-04-23,1278.2870104735644,-1516.657538340517,3906.4743129184294
2016-04-24,1450.9516129066574,-1450.0572115665182,4054.1728069941078
2016-04-25,1647.3132505550607,-985.9466239739053,4407.686062625991
2016-04-26,1050.2486443391347,-1660.2087692553719,3684.648987694352
2016-04-28,1347.5744360960227,-1289.3988111791198,3954.9955411855913
2016-04-30,1180.29908230507,-1413.018286957945,3876.189637743885
2016-05-01,1346.7238718407348,-1431.6012384791902,3931.454223844702
2016-05-02,1540.1225454062537,-1123.3134854495822,4192.022675248697
2016-05-03,943.6485815998743,-1805.6211569117331,3589.937616562715
2016-05-05,1253.335218619038,-1467.0212151506519,3997.1310625648566
2016-05-06,1512.3687218051534,-1161.4426901322272,4073.868465250742
2016-05-07,1112.9979600474853,-1960.7961883884377,3860.459727779939
